Path,Status,GSC_URL,Clicks,Impressions,Redirect_Destination
"/rekomendasi-jual-game-pc-purworejo","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-purworejo","6","46",""
"/terbaik-jual-game-pc-garut","Both","https://www.kotacom.id/terbaik-jual-game-pc-garut","6","61",""
"/terbaik-jual-game-pc-sukabumi","Both","https://www.kotacom.id/terbaik-jual-game-pc-sukabumi","6","81",""
"/it-services/jasa-install-ulang-windows-surabaya","GSC Only","https://www.kotacom.id/it-services/jasa-install-ulang-windows-surabaya","6","351","/services/jasa-install-ulang-windows-surabaya"
"/product/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya","GSC Only","https://www.kotacom.id/product/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya","6","280","/products/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya"
"/service/jasa-pembuatan-software-surabaya","GSC Only","https://www.kotacom.id/service/jasa-pembuatan-software-surabaya","6","2175","/services/jasa-pembuatan-software-surabaya"
"/jasa-cetak-buku-jayapura","Both","https://www.kotacom.id/jasa-cetak-buku-jayapura","5","135","/"
"/jasa-cetak-buku-novel-murah","Both","https://www.kotacom.id/jasa-cetak-buku-novel-murah","5","540","/"
"/jasa-instal-software-autodesk-3d-max-2010-2013-2016-surabaya-sidoarjo-panggilan","Both","https://www.kotacom.id/jasa-instal-software-autodesk-3d-max-2010-2013-2016-surabaya-sidoarjo-panggilan","5","58",""
"/jasa-install-coreldraw-online-solusi-desain-grafis-cepat-praktis","Both","https://www.kotacom.id/jasa-install-coreldraw-online-solusi-desain-grafis-cepat-praktis","5","268",""
"/jasa-install-pes-2020-surabaya-sidoarjo-malang-lamongan","Both","https://www.kotacom.id/jasa-install-pes-2020-surabaya-sidoarjo-malang-lamongan","5","81",""
"/jasa-install-sketchup-online-cepat-mudah-bergaransi","Both","https://www.kotacom.id/jasa-install-sketchup-online-cepat-mudah-bergaransi","5","90",""
"/jasa-install-ulang-windows-7-surabaya-panggilan","Both","https://www.kotacom.id/jasa-install-ulang-windows-7-surabaya-panggilan","5","1125",""
"/percetakan","Both","https://www.kotacom.id/percetakan","5","89",""
"/products/simulasi-rakit-pc-surabaya-jasa-rakit-pc-surabaya","Both","https://www.kotacom.id/products/simulasi-rakit-pc-surabaya-jasa-rakit-pc-surabaya","5","173",""
"/rekomendasi-jual-game-pc-bandung-barat","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-bandung-barat","5","284",""
"/pembuatan-website/surabaya","GSC Only","https://www.kotacom.id/pembuatan-website/surabaya","5","78",""
"/product-tag/jual-pc-rakitan-murah-madiun","GSC Only","https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-madiun","5","74",""
"/product/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi","GSC Only","https://www.kotacom.id/product/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi","5","102","/products/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi"
"/shop","GSC Only","https://www.kotacom.id/shop","5","345","/products"
"/product-tag/jual-pc-rakitan-murah-mojokerto","GSC Only","https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-mojokerto","5","64",""
"/jasa-cetak-buku-kepulauan-sangihe","Both","https://www.kotacom.id/jasa-cetak-buku-kepulauan-sangihe","4","43","/"
"/jasa-cetak-buku-medan","Both","https://www.kotacom.id/jasa-cetak-buku-medan","4","449","/"
"/jasa-cetak-buku-pontianak","Both","https://www.kotacom.id/jasa-cetak-buku-pontianak","4","395","/"
"/jasa-cetak-buku-tomohon","Both","https://www.kotacom.id/jasa-cetak-buku-tomohon","4","374","/"
"/jasa-cetak-kalender","Both","https://www.kotacom.id/jasa-cetak-kalender","4","1019",""
"/jasa-instal-ulang-dan-update-windows-8-windows-8-1-murah-surabaya","Both","https://www.kotacom.id/jasa-instal-ulang-dan-update-windows-8-windows-8-1-murah-surabaya","4","971",""
"/jasa-install-dan-update-windows-7-surabaya-murah","Both","https://www.kotacom.id/jasa-install-dan-update-windows-7-surabaya-murah","4","511",""
